alim_nom_fr;Energie (kcal/100 g);Proteines (g/100 g);Glucides (g/100 g);Lipides (g/100 g)
Matiere grasse vegetale (type margarine) e 50-63% MG, allegee, demi-sel;523;0,2;< 0,2;58
Matiere grasse vegetale (type margarine) e 50-63% MG, allegee, doux, aux esters de sterol vegetal;548;< 0,5;0;60,8
Matiere grasse vegetale (type margarine) e 50-63% MG, allegee, demi-sel, riche en omega 3;491;0,083;0,12;54,5
Matiere grasse vegetale (type margarine) e 50-63% MG, allegee, doux;536;< 0,5;0,18;59,3
Matiere grasse vegetale (type margarine) e 30-40% MG, legere, demi-sel, aux esters de sterol vegetal;325;0,1;2,5;35
Matiere grasse melangee (vegetale et laitiere) e 50-63% MG;490;0,4;0,6;54
Matiere grasse melangee (vegetale et laitiere) e 50-63% MG, demi-sel;481;0,4;0,6;53
Matiere grasse melangee (vegetale et laitiere), e tartiner, e 30-40% MG;397;1,69;5,6;40,9
Matiere grasse melangee (vegetale et laitiere), e tartiner, e 30-40% MG, demi-sel;370;1,5;5,6;38
Huile de foie de morue;900;0;0;100
Huile de sardine;900;0;0;100
Huile de saumon;900;0;0;100
Huile de hareng;900;0;0;100
Saindoux;896;0;0;99,5
Lard gras, cru;810;2,92;0;88,7
Graisse de poulet;898;0;0;99,8
Graisse de canard;898;0;0;99,8
Graisse d'oie;898;0;0;99,8
Graisse de dinde;898;0;0;99,8
Huile de paraffine;0;0;0;0
Ketchup, preemballe;99;1,27;21,4;0,19
Sauce barbecue, preemballee;136;0,56;30,3;0,6
Sauce soja, preemballee;45,5;7,08;3,64;0,1
Sauce Nuoc Mem ou Sauce au poisson, preemballee;81,2;9,3;10,9;0
Caviar de tomates;218;2,19;6,8;19,2
Sauce pour nems e base de nuoc-mam dilue, preemballee;135;1,38;31,2;< 0,5
Sauce vegetale type bolognaise, preemballee;68;3,56;5,05;3
Sauce au curry, preemballee;77,4;1,02;10,6;3,16
Sauce basquaise ou Sauce aux poivrons, preemballee;63,1;1,17;7,41;2,71
Sauce pesto, preemballee;370;3,94;6,6;35,4
Celeri remoulade, preemballe;113;0,94;3,14;10,2
Sauce au chocolat, preemballee;277;3,8;26,2;16,8
Creme anglaise, preemballee;105;3,44;16,7;2,5
Cornichon, au vinaigre;19,4;1,06;0,78;< 0,6
Moutarde;152;6,92;4,33;11,2
Vinaigre;22,6;0,04;0,62;0,1
Moutarde e l'ancienne;142;6,6;2,2;9,9
Vinaigre balsamique;125;0,69;25,8;< 0,6
Cornichon, aigre-doux;36;1,25;5;0,35
Vinaigre de vin rouge;21,6;< 0,5;traces;0
Olive verte, en saumure, egouttee;155;1,31;traces;15,7
Olive noire, e l'huile (e la grecque);332;2,19;< 0,1;33,3
Olive (aliment moyen);162;1,39;0,043;16,5
Bouillon de boeuf, deshydrate;240;10,2;19,7;13,3
Fond de veau pour sauces et cuisson, deshydrate;343;8,5;59,5;7,4
Fond de volaille pour sauces et cuisson, deshydrate;341;7,4;66,3;4,9
Court-bouillon pour poissons, deshydrate;260;5;7;23
Bouillon de volaille, deshydrate;233;11,3;20,8;11,5
Gelee au madere, deshydratee;248;44,5;17;0,2
Gelee au madere;11,3;2;0,8;0,01
Fond de veau, preemballe;40,9;3,15;2,4;2,05
Pizza, sauce garniture pour;38,5;2,12;3,2;0,73
Bouillon de viande et legumes type pot-au-feu, deshydrate;213;10,3;17,7;11,1
Bouillon de viande et legumes type pot-au-feu, non degraisse, deshydrate;212;11,6;28,9;5,4
Bouillon de viande et legumes type pot-au-feu, degraisse, deshydrate;197;10,8;30,9;3,1
Sel blanc alimentaire, non iode, non fluore (marin, ignigene ou gemme);0;0;0;0
Sel au celeri;49;1,81;4,14;2,53
Sel blanc alimentaire, iode, non fluore (marin, ignigene ou gemme);0;0;0;0
Fleur de sel, non iodee, non fluoree;0;0;0;0
Sel marin gris, non iode, non fluore;0;0;0;0
Sel blanc alimentaire, iode, fluore e 25 mg /100 g (marin, ignigene ou gemme);0;0;0;0
Curry, poudre;301;14,5;2,63;14
Gingembre, poudre;335;8,98;58,3;4,24
Poivre noir, poudre;330;13,3;39,5;7,5
Poivre blanc, poudre;310;11,4;48,3;2,11
Cannelle, poudre;243;3,87;27,5;1,22
Coriandre, graine;346;12,4;13;17,8
Safran;352;11,4;61,5;5,85
Cumin, graine;427;17,8;33,7;22,3
Noix de muscade;507;5,3;28,5;36,3
Paprika;319;14,1;19,1;12,9
Clou de girofle;335;5,97;31,6;13
Laurier, feuille;353;7,61;48,6;8,36
Quatre epices;348;6,09;50,5;8,69
Pavot, graine;551;19,7;13,7;43,1
Carvi, graine;334;19,8;11,9;14,6
Vanille, extrait alcoolique;240;0,05;2,41;0
Fenouil, graine;326;15,7;12,5;14,9
Gingembre, racine crue;32,9;1,1;3,4;1,1
Cardamome, poudre;321;10,8;40,5;6,7
Fenugrec, graine;350;27,1;33,8;6,41
Epice (aliment moyen);346;12,3;37,7;10,4
Poivre de Cayenne ou piment de Cayenne;376;12;29,4;17,3
Curcuma, poudre;291;9,68;44,4;3,25
Vanille, extrait aqueux;57,7;0,03;14,4;0
Ail, cru;111;5,31;18,6;< 0,5
Cerfeuil, frais;39,9;3,72;3,63;0,6
Ciboule ou Ciboulette, fraeche;29,7;2,57;2,1;0,52
Persil, frais;43;3,71;3,48;0,63
Menthe, fraeche;57,6;3,52;5,3;0,84
Basilic, frais;34,8;3,35;2,55;0,47
Romarin, frais;121;3,31;6,6;5,86
Sauge, fraeche;36,7;4;0,97;< 0,5
Thym, frais;107;5,56;10,5;1,68
Herbes aromatiques fraeches (aliment moyen);49,4;3,58;4,15;0,8
Estragon, frais;44;3,8;4,1;traces
Aneth, frais;48,2;3,93;3,9;1,1
Coriandre, fraiche;22,3;2,13;0,87;0,52
Ail, reti/cuit au four;127;5,56;23,8;< 0,5
Ail, saute/poele, sans matiere grasse;130;6;22;0,4
Ail seche, poudre;344;16,7;62,8;0,77
Persil, seche;291;29;16,8;5,34
Menthe, sechee;283;19,9;22,2;6,03
Basilic, seche;244;23;10,1;4,07
Marjolaine, sechee;276;12,7;20,3;7,04
Origan, seche;265;9;26,4;4,28
Romarin, seche;328;4,88;21,5;15,2
Sauge, sechee;320;10,6;20,4;12,8
Thym, seche;285;9,11;26,9;7,43
Herbes de Provence, sechees;283;11,5;23;7,2
Sarriette, sechee;264;6,73;23;5,91
Meloukhia, feuilles de corete sechees, en poudre;239;23;12,7;1,8
Wakame (Undaria pinnatifida), sechee ou deshydratee;184;14,1;5,7;2,51
Laitue de mer (Ulva sp,), sechee ou deshydratee;206;15,9;13,8;2,03
Kombu royal (Saccharina latissima), sechee ou deshydratee;204;10,3;23,6;1,07
Nori (Porphyra sp,), sechee ou deshydratee;255;31,5;10,5;1,63
Dulse (Palmaria palmata), sechee ou deshydratee;227;17,2;22,6;1,33
Kombu ou kombu japonais (Laminaria japonica), sechee ou deshydratee;224;8,38;24,2;2,65
Kombu breton (Laminaria digitata), sechee ou deshydratee;217;9,51;25,6;1,13
Haricot de mer (Himanthalia elongata), sechee ou deshydratee;239;10,1;28,3;2,63
Gracilaire ou ogonori (Gracilaria verrucosa), sechee ou deshydratee;243;16,5;18,8;3,54
Fucus vesiculeux (Fucus serratus ou Fucus vesiculosus), seche ou deshydrate;194;7,41;15,7;1,33
Ao-nori (Enteromorpha sp,), sechee ou deshydratee;224;13,7;18,8;2,47
Lichen de mer ou pioca ou goemon rouge (Chondrus crispus), seche ou deshydrate;234;16,6;21,5;2,3
Ascophylle noueux ou goemon noir (Ascophyllum nodosum), seche ou deshydrate;211;7,22;18,5;2,78
Wakame atlantique (Alaria esculenta), sechee ou deshydratee;187;12,3;6,28;1,53
Substitut de repas hypocalorique, creme dessert;96,8;6,43;11,1;2,75
Substitut de repas hypocalorique, pret e boire;90,6;6,79;10,4;2,45
Substitut de repas hypocalorique, poudre reconstituee avec lait ecreme;82;6,09;10,1;1,73
Substitut de repas hypocalorique, poudre reconstituee avec lait ecreme, type milk-shake;87;6,19;10,2;2,28
Son de ble;279;15,4;23,6;4,35
Son d'avoine;359;15,8;51;6,48
Son de maes;226;8,36;6,65;0,92
Son de riz;398;13,9;28,1;20,9
Son (aliment moyen);344;15,7;46;6,09
Germe de ble;375;27,2;35,1;9,5
Gelatine, seche;348;86,9;0;0,1
Levure alimentaire;334;40,4;21,8;4,5
Bicarbonate de soude;0,4;0,1;0;0
Tofu soyeux, preemballe;54,3;4,57;1,53;2,9
Sirop leger pour poire appertisee;60,7;< 0,5;14,6;< 0,3
Gelifiant pour confitures;278;0;62;0
Pollen, partiellement seche;358;21,9;52,5;4,2
Pollen,frais;285;17,5;37,7;5,17
Base de pizza e la creme;261;7,7;51,1;2,6
Base de pizza tomatee;232;6,9;44,6;2,7
Lecithine de soja;779;0;8;83
Lait 1er ege, poudre soluble (preparation pour nourrissons);496;10,9;55;25,3
Lait 2e ege, poudre soluble (preparation de suite);484;11,6;56,3;23,2
Boisson infantile cereales lactees aux legumes pour dener des 4/6 mois;82,1;2,14;11,6;2,83
Boisson infantile cereales lactees aux fruits pour le goeter des 4/6 mois;67,6;1,75;7,7;3
Boisson infantile cereales lactees pour le petit dejeuner des 4/6 mois;83,7;1,98;12,1;2,7
Boisson infantile cereales lactees pour le petit dejeuner des 8/9 mois;84,2;2,36;11,6;2,8
Boisson infantile cereales lactees pour le petit dejeuner des 12 mois;86,3;2,23;12,6;2,78
Boisson infantile lactees aux fruits pour le goeter des 4/6 mois (sans cereales);75,5;1,85;10,4;2,6
Boisson infantile cereales lactees pour le petit dejeuner;85,5;1,9;12,7;2,89
Boisson infantile cereales lactees (aliment moyen);86,3;2,22;12,6;2,78
Lait de croissance infantile, liquide (aliment lacte destine aux enfants en bas ege);60,9;1,28;7,77;2,71
Lait 1er ege, pret e consommer (preparation pour nourrissons);71,8;1,21;8,04;3,79
Lait 2e ege, pret e consommer (preparation pour nourrissons);65,1;1,21;8,23;2,9
Petit pot legumes, des 4-6 mois;26,3;0,9;3,8;< 0,5
Petit pot legumes, avec feculent, des 4/6 mois;41,7;1,3;6,45;0,8
Plat legumes, avec feculent, des 6-8 mois;42,9;1,2;6,9;0,7
Plat legumes, avec feculent et lait/creme, des 6-8 mois;70,2;2,38;9,12;2,3
Plat legumes, avec feculent et lait/creme, des 8-12 mois;77,5;2,1;8,1;3,5
Plat legumes, avec feculent et lait/creme, des 12 mois;71,6;2,88;8,53;2,3
Soupe pour bebe legumes et pomme de terre;38,5;1;5,88;0,91
Soupe pour bebe legumes, cereales et lait;59,5;1,5;7,19;2,5
Plat legumes, avec feculent et lait/creme, des 18 mois;70,3;2,56;8,59;2,4
Plat legumes, avec feculent et viande/poisson, des 6-8 mois;59;3,6;5,9;1,6
Plat legumes, avec feculent et viande/poisson, des 8-12 mois;54,9;2,8;6,77;1,31
Plat legumes, avec feculent et viande/poisson, des 12 mois;75,7;2,5;8,95;2,9
Plat legumes, avec feculent et viande/poisson, des 18 mois;68,3;2,82;9,02;1,98
Dessert lacte infantile type creme dessert;90;3,32;11,3;3,1
Dessert lacte infantile au riz ou e la semoule;93,8;3,45;11,7;3,3
Dessert lacte infantile nature sucre ou aux fruits;100;3,19;12,5;3,5
Cereales instantanees, poudre e reconstituer, des 4/6 mois;393;5,1;88,3;1,7
Cereales instantanees, poudre e reconstituer, des 6 mois;391;10;81,1;2
Biscuit pour bebe;439;7,5;73,3;12,3
Poudre cacaotee pour bebe;396;8,5;85;1,9
