alim_nom_fr;Energie (kcal/100 g);Protéines (g/100 g);Glucides (g/100 g);Lipides (g/100 g)
Dorade grise, ou daurade grise, ou griset, rôtie/cuite au four;121,300;22,9;0,000;3,3
Thon germon ou thon blanc, cru;121,130;27,2;0,000;1,37
Semoule au lait, rayon frais;120,510;3,46;19,4;3,23
Romarin, frais;92,380;3,31;6,6;5,86
Tomate farcie;116,990;5,49;2;9,67
Lasagnes ou cannellonis aux légumes, préemballés, cuits;117,820;4,38;11,8;5,9
Semoule de blé dur, cuite, non salée;116,880;3,42;24;0,8
Boeuf, jarret, cru;121,850;20,9;0;4,25
Cervelle, agneau, crue;122,020;10,4;0,8;8,58
Ris, agneau, cru;121,760;14,6;0;7,04
Lait concentré non sucré, entier;118,500;6,44;9,91;5,9
Yaourt, lait fermenté ou spécialité laitière, aux copeaux de chocolat, à la crème, sucré;116,340;3,51;14,1;5,1
Boeuf, rumsteck, grillé;122,500;25;0,000;2,5
Porc, filet mignon, cru;123,210;21,2;0,4;4,09
Poulet (var. blanc), viande et peau, cru;123,500;21,2;0;4,3
Foie, dinde, cru;122,700;18,3;0;5,5
Épaule de porc, cuite, standard, découennée dégraissée;122,940;13,7;3,58;5,98
Esturgeon, cru;123,360;17,7;0,000;5,84
Poulet au curry et au lait de coco;117,100;10,6;3,15;6,9
Dinde, escalope, sautée/poêlée;123,810;28,5;0;1,09
Veau, épaule, crue;124,470;20,7;0;4,63
Poule, viande ,crue;124,190;20,9;0;4,51
Cervelle, porc, crue;124,090;10,3;0;9,21
Bar commun ou loup (Méditerranée), cru, élevage;123,850;21,4;0,000;4,25
Crabe ou Tourteau, bouilli/cuit à l'eau;123,770;19,5;1,79;4,29
Banane plantain, cuite;120,380;0,79;28,9;0,18
Jambon cuit, supérieur;124,960;20,8;0,81;4,28
Jambon cuit, choix;125,300;19,5;1,7;4,5
Merlan, frit;124,890;23,1;0,000;3,61
Sabre, cru;125,100;18;0,000;5,9
Surimi, bâtonnets, tranche ou râpé saveur crabe;124,720;8,31;11,8;4,92
Omelette aux champignons;124,280;8,09;2,28;9,2
Vinaigre balsamique;105,960;0,69;25,8;0,000
Pâtes sèches standard, cuites, non salées;120,910;3,99;25;0,55
Caille, viande, crue;126,290;22,5;0,5;3,81
Canard, viande, crue;125,570;19,4;0;5,33
Rascasse, cuite à la vapeur;126,300;24,6;0,000;3,1
Milk-shake, provenant de fast food;125,060;3,38;17,4;4,66
Riz au lait, rayon frais;126,050;3,34;21,4;3,01
Tajine de poulet, préemballé;121,060;7,54;14,4;3,7
Brochette de poisson;126,830;18;0,86;5,71
Lentille verte, bouillie/cuite à l'eau;110,420;10,1;16,2;0,58
Rognon, agneau, braisé;127,380;23,7;0;3,62
Faisan, viande, cru;127,220;23,3;0;3,78
Foie, porc, cru;127,600;20,6;1,85;4,2
Ail, rôti/cuit au four;117,440;5,56;23,8;0,000
Couscous à la viande, préemballé;122,930;7,59;12,5;4,73
Pâtes sèches, au blé complet, cuites, non salées;119,900;4,55;23,4;0,9
Boeuf, steak ou bifteck, grillé;127,950;27,6;0,000;1,95
Dinde, escalope, rôtie/cuite au four;127,760;24,6;0,5;3,04
Agneau, gigot, cru;128,090;20;0,48;5,13
Anchois au sel (anchoité, semi-conserve);127,900;25;0;3,1
Thon albacore ou thon jaune, au naturel, appertisé, égoutté;126,540;26,6;0,58;1,98
Cassoulet, appertisé;121,810;8,06;9,41;5,77
Porc, escalope de jambon, crue;128,840;21,5;0;4,76
Cheval, steak, cru;128,600;21,4;0,4;4,6
Foie, oie, cru;129,010;16,3;6,3;4,29
Anchois commun, cru;129,030;18,6;0,000;6,07
Dorade royale ou daurade ou vraie daurade, crue, élevage;129,500;20,9;0,000;5,1
Ile flottante, rayon frais;128,910;4,98;19,8;3,31
Céleri branche, appertisé, égoutté;9,390;0,63;1,38;0,15
Fenouil, cuit à l'étouffée;7,760;0,000;1,94;0,000
Salade de pomme de terre à la piémontaise, préemballée;128,180;4,5;8,87;8,3
Couscous au poulet;127,050;7,5;15,6;3,85
Risotto, aux fruits de mer, préemballé;126,510;5,47;12,5;6,07
Boeuf, steak haché 5% MG, cru;130,110;21,9;0,3;4,59
Espadon, cru;129,330;18,9;0,000;5,97
Dorade grise, ou daurade grise, ou griset, crue;129,430;20,5;0,000;5,27
Thon à la tomate, miettes, appertisées, égouttées;129,090;14,6;4,33;5,93
Crème dessert au chocolat, rayon frais;128,530;3,39;19,9;3,93
Ail, sauté/poêlé, sans matière grasse;115,600;6;22;0,4
Taro, tubercule, cuit;121,070;0,52;29,5;0,11
Haricot coco, bouilli/cuit à l'eau;97,820;9,63;13,7;0,5
Poule, cuisse, crue;131,680;19,6;0;5,92
Foie, canard, cru;130,380;18,7;3,5;4,62
Brochette de porc, crue;129,300;15,6;2,1;6,5
Bulot ou Buccin, cru;130,770;23,8;7,61;0,57
Couscous royal (avec plusieurs viandes), préemballé;127,530;7,69;14;4,53
Cassoulet au porc, appertisé;124,300;8,3;8,6;6,3
Tajine de mouton;130,670;12,8;4,5;6,83
Poisson en sauce, surgelé;129,370;13,3;3,18;7,05
Manioc, racine cuite;131,147;0,69;32;0,043
Boeuf, filet, cru;131,830;21,6;0,22;4,95
Dinde, viande et peau, crue;132,390;23,4;0;4,31
Foie, lapin, cru;132,000;19;5;4
Dés, allumettes, râpé ou haché de jambon de volaille;131,240;18;1,58;5,88
Truite arc en ciel, crue, élevage;132,160;19;0,000;6,24
Crème caramel, rayon frais;132,600;4,45;20,6;3,6
Crème dessert à la vanille, appertisée;131,780;3,7;21,1;3,62
Soupe aux asperges, préemballée à réchauffer;130,800;4,6;4,7;10,4
Coq au vin;131,000;13;4;7
Navarin d'agneau aux légumes;129,690;8,05;5;8,61
Saumon à l'oseille, préemballé;132,010;8,36;7,43;7,65
Lasagnes ou cannellonis au fromage et aux épinards, préemballés;129,400;6,1;11,4;6,6
Cervelle, veau, cuite;132,670;11,5;0;9,63
Coeur, boeuf, cuit;133,100;23;0,15;4,5
Boeuf, bavette d'aloyau, crue;132,630;20,4;0;5,67
Veau, collier, cru;132,480;19,8;0,000;5,92
Foie, volaille, cru;133,640;21,3;1,13;4,88
Orphie commune, crue;133,190;20;0,000;5,91
Truite d'élevage, crue;133,180;19,3;0,000;6,22
Crème dessert, rayon frais (aliment moyen);131,180;3,42;17,9;5,1
Crème dessert, rayon frais ou appertisée (aliment moyen);131,310;3,42;18;5,07
Saké ou Alcool de riz;20,000;0;5;0
Citron givré ou Orange givrée (sorbet);132,890;0,14;29,1;1,77
Lasagnes ou cannelloni à la viande (bolognaise);130,640;6,29;13,5;5,72
Pâtes sèches, aux oeufs, cuites, non salées;128,280;4,57;23;2
Oeuf, dur;133,660;13,5;0,52;8,62
Seitan, préemballé;131,860;20,6;6,74;2,5
Pomme de terre sautée/ rissolée, pré-frites, surgelée, crue;130,680;2,32;20,9;4,2
Cheval, tende de tranche, grillée/poêlée;134,820;27,9;0,000;2,58
Poulet fermier, viande et peau, cru;135,400;21,5;0,2;5,4
Coeur, dinde, cru;135,360;16,7;0,4;7,44
Jambon cuit, fumé;135,360;20;0,79;5,8
Quenelle de poisson, en sauce;133,750;3,79;10,5;8,51
Maquereau espagnol ou maquereau blanc ou billard, cru;134,750;22,1;0,000;5,15
Crème dessert, appertisée (aliment moyen);131,240;3,49;21,4;3,52
Sauce pour nems à base de nuoc-mam dilué, préemballée;130,320;1,38;31,2;0,000
Porc au caramel, préemballé;134,200;10;11,4;5,4
Crêpe ou Galette fourrée béchamel jambon, préemballée;133,800;5,75;18,7;4
Chevreau, cuit;135,670;27,1;0;3,03
Ris, veau, braisé ou sauté/poêlé;136,200;21;0;5,8
Boeuf, joue, crue;135,980;22,3;0,4;5,02
Caille, viande et peau, crue;135,950;21,5;0;5,55
Quenelle au tofu (ne convient pas aux véganes ou végétaliens), préemballée;128,680;11;4,97;7,2
Thon, rôti/cuit au four;136,070;29,9;0,000;1,83
Anchois commun, mariné, préemballé;135,740;23,9;2,7;3,26
Sauce barbecue, préemballée;128,840;0,56;30,3;0,6
Brochette de volaille, cuite;133,960;23,1;1,39;4
Pomme de terre poêlée, avec matière grasse;130,500;2,5;17,3;5,7
Mouton, viande, crue;137,390;20,6;0,000;6,11
Jambon cuit, supérieur, avec couenne;136,820;20,2;0,91;5,82
Jambon cuit, choix, avec couenne;136,500;19,4;0,55;6,3
Pied de porc demi-sel;136,440;11,6;0,01;10
Haché de volaille;135,920;17,7;3,5;5,68
Hachis parmentier à la viande, préemballé;135,500;5,99;9,39;8,22
Cheval, viande, rôtie/cuite au four;137,650;28;0;2,85
Boeuf, onglet, cru;137,700;19,9;0,62;6,18
Foie, génisse, cru;137,380;21;3,67;4,3
Quenelle de volaille, en sauce;135,680;3,55;10,3;8,92
Oeuf, poché;138,070;12,5;0,71;9,47
Crème dessert au chocolat, appertisée;130,980;3,25;21,8;3,42
Brochette de boeuf, cuite;135,720;21,9;0,33;5,2
Agneau, épaule, maigre, crue;139,240;19,6;0;6,76
Salade feuille de chêne, crue;8,640;1,13;1,03;0,000
Radis rouge, cru;9,880;0,94;1,53;0,000
Concombre, pulpe, cru;11,160;0,56;2,23;0,000
Bette ou blette, cuite;7,720;0,7;1,23;0,000
Oeuf, cru;140,350;12,7;0,27;9,83
Riz rouge, cuit, non salé;132,810;3,45;28,2;0,69
Boeuf, tende de tranche, grillée/poêlée;141,080;28,7;0,000;2,92
Poulet, filet, sans peau, sauté/poêlé;138,400;30,1;0;2
Porc, jambon sans jarret, sans bateau, découenné, dégraissé, désossé, cru;141,420;20,9;0,28;6,3
Jambon cru, fumé, allégé en matière grasse;141,800;27,7;0,1;3,4
Thon, à la catalane ou à l'escabèche (sauce tomate), appertisé;140,800;10,8;5,05;8,6
Oeuf, à la coque;141,500;12,2;1,08;9,82
Moutarde à l'ancienne;124,300;6,6;2,2;9,9
Haché végétal à base de soja, préemballé;126,240;11,5;7,01;5,8
Riz thaï, cuit, non salé;139,980;2,92;30,5;0,7
Veau, rôti, cuit;142,910;28,1;0;3,39
Pintade, crue;142,950;22,8;0;5,75
Mulet, rôti/cuit au four;142,940;24,8;0,000;4,86
Truite arc en ciel, élevage, rôtie/cuite au four;142,970;21,5;0,000;6,33
Rouget-barbet de roche, vapeur;143,200;24,1;0,000;5,2
Truite saumonée, crue;143,400;19,2;0,000;7,4
Gâteau de riz au caramel, rayon frais;142,260;3,19;25,4;3,1
Poisson cuit (aliment moyen);143,680;23,5;0;5,52
Boeuf, boule de macreuse, grillée/poêlée;143,790;26,7;0,000;4,11
Poulet, filet, sans peau, sauté/poêlé, bio;140,600;31,1;0;1,8
Cheval, tende de tranche, rôtie/cuite au four;143,550;29,7;0,000;2,75
Rognon, porc, cuit;143,900;25,4;0;4,7
Boeuf, paleron, cru;143,660;21,2;0;6,54
Thon, cru;144,420;24;0,000;5,38
Canard en sauce (poivre vert, chasseur, etc.), préemballé;144,700;9,55;10,2;7,3
Riz blanc, cuit, non salé;142,570;2,92;31,8;0,41
Cervelle, agneau, cuite;145,400;12,6;0,8;10,2
Veau, carré, cru;144,850;19,5;0,4;7,25
Veau, rôti, cru;144,840;27,3;0;3,96
Moules à la sauce catalane ou escabèche (tomate), appertisée, égouttée;141,100;12,5;5;7,9
Oeuf, brouillé, avec matière grasse;145,440;9,99;1,62;11
Parmentier de canard, préemballé;142,860;6,82;8,51;9,06
Riz blanc étuvé, cuit, non salé;143,640;2,95;31,7;0,56
Boeuf, tende de tranche, rôtie/cuite au four;146,470;29,8;0,000;3,03
Porc, carré, cru;145,860;22,7;0,4;5,94
Porc, rôti filet avec chaînette, cru;146,480;22,3;0,37;6,2
Oeufs de cabillaud, fumés, semi-conserve;145,800;26,9;0,1;4,2
Gâteau de semoule aux raisins et caramel, rayon frais;145,040;3,81;24,8;3,4
Moussaka;141,120;5,82;5,16;10,8
Pois chiche, bouilli/cuit à l'eau;131,040;8,31;17,7;3
Nouilles asiatiques cuites, aromatisées;133,020;4,78;18,8;4,3
Boeuf, boule de macreuse, rôtie/cuite au four;147,000;27,3;0,000;4,2
Veau, escalope, cuite;146,500;31;0,000;2,5
Veau, noix, grillée/poêlée;147,360;29,1;0,000;3,44
Veau, noix, rôtie;147,360;29,1;0,000;3,44
Sanglier, cru;146,970;20,7;0;7,13
Bar commun ou loup, rôti/cuit au four;147,390;22,2;0,000;6,51
Chinchard gras, cru;147,340;19,6;0,000;7,66
Oeuf, au plat, sans matière grasse;146,720;13,8;1,01;9,72
Omelette aux fines herbes;146,720;9,5;1,98;11,2
Liégeois aux fruits, préemballé;142,900;1,5;16;8,1
Paëlla;143,940;7,86;17,1;4,9
Lasagnes ou cannellonis au poisson, préemballées;145,020;7,28;13;7,1
Boeuf, gîte à la noix, cru;148,650;21,3;0;7,05
Porc, jambonneau arrière, découenné, dégraisssé, désossé, cru;147,710;20,2;0,28;7,31
Foie, agneau, cru;147,930;21,8;2,92;5,45
Dorade (Daurade) royale, cuite au four;147,500;23,6;0,000;5,9
Tofu nature, préemballé;141,580;13,4;2,87;8,5
Dessert végétal sans soja (amande, avoine, chanvre, coco, riz), aromatisé, sucré, non enrichi, préemballé;141,840;1,66;15,8;8
Couscous au mouton;146,840;8,31;12,2;7,2
Crêpe ou Galette fourrée béchamel fromage, préemballée;146,630;6,02;17,7;5,75
Spécialité chinoise type bouchée à la vapeur, préemballée, cuite;148,200;5,9;28;1,4
Blé dur précuit, grains entiers, cuit, non salé;139,860;5,54;27,4;0,9
Quinoa, bouilli/cuit à l'eau, non salé;140,140;4,66;27,9;1,1
Gésier, canard, confit, appertisé;148,500;32,4;0;2,1
Porc, rouelle de jambon, crue;148,840;20,2;0;7,56
Coeur, poulet, cru;149,080;15,6;0,7;9,32
Calmar ou calamar ou encornet, bouilli/cuit à l'eau;149,160;32,5;1,64;1,4
Surimi, fourré au fromage;147,060;6,6;9,24;9,3
Fromage frais type petit suisse, nature, 10% MG environ;145,080;9,7;3,17;10,4
Eau de coco;13,320;0,000;3,33;0,000
Courgette, pulpe et peau, cuite;12,560;0,93;1,4;0,36
Concombre, pulpe et peau, cru;13,710;0,64;2,54;0,11
Champignon de Paris ou champignon de couche, surgelé, cru;12,770;1,8;0,83;0,25
Feuille de vigne farcie au riz ou dolmas, égouttée, préemballée;142,900;2,5;18,6;6,5
Crêpe ou Galette fourrée béchamel champignon, préemballée;147,300;4,83;20,7;5,02
Chevreuil, rôti/cuit au four;149,510;30,2;0;3,19
Cerf, rôti/cuit au four;149,510;30,2;0;3,19
Dinde, cuisse, viande et peau, crue;149,850;19,8;0;7,85
Protéine de soja texturée, réhydratée;128,620;18,6;7,03;2,9
Mousse au chocolat (base laitière), rayon frais;146,480;5,42;21,3;4,4
Gâteau de semoule, appertisé;148,270;2,85;27,4;3,03
Fromage rond à pâte molle et croûte fleurie environ 5% MG type camembert allégé en matière grasse;152,300;25,7;0,000;5,5
Ficelle picarde, préemballée;149,500;8,6;11,9;7,5
Dinde, viande, rôtie/cuite au four;150,960;29,1;0;3,84
Langue, veau, crue;151,160;17;0,9;8,84
Museau de boeuf;151,330;26,2;0;5,17
Carpe, rôtie/cuite au four;150,930;21,6;0,000;7,17
Cancoillotte (spécialité fromagère fondue);151,700;13,8;0,5;10,5
Gibier à poil, cuit (aliment moyen);152,060;29,6;0;3,74
Boeuf, faux-filet, cru;152,260;22,3;0,6;6,74
Jambon persillé en gelée;149,020;19;0,48;7,9
Moutarde;145,800;6,92;4,33;11,2
Agneau, selle, partie maigre, rôtie/cuite au four;153,450;26,1;0;5,45
Agneau, selle, partie maigre, grillée/poêlée;153,450;26,1;0,000;5,45
Sanglier, rôti/cuit au four;152,620;28,3;0;4,38
Porc, rôti, cru;152,940;22,3;0,5;6,86
Marsala aux oeufs;49,600;0;12,4;0
Frites de pommes de terre, surgelées, préfrites, pour cuisson rôtie/ au four;149,050;2,41;23,4;5,09
Boeuf, hampe, crue;153,670;19;0;8,63
Oeuf de caille, cru;153,940;13,1;0,41;11,1
Boeuf, steak haché 5% MG, cuit;154,650;25,5;0;5,85
Poulet, pilon, cru;155,050;18,4;0;9,05
Oie, viande crue;154,480;22,6;0;7,12
Thon rouge, cru;154,490;23,3;0,000;6,81
Olive verte, en saumure, égouttée;146,540;1,31;0,000;15,7
Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, cuites;148,460;5,19;20,9;4,9
Pomme de terre sautée/rissolée, pré-frite, surgelée, cuite;146,440;2,81;23;4,8
Veau, côte, grillée/poêlée;156,560;25,1;0;6,24
Poulpe, cuit;155,520;29,8;4,4;2,08
Tempeh;138,260;16,1;7,89;4,7
Manioc, racine crue;153,050;1,31;36,3;0,29
Graine de couscous (semoule de blé dur précuite), cuite, non salée;151,240;4,56;31;1
Agneau, côte filet, grillée/poêlée;157,220;26,3;0,000;5,78
Agneau, côte ou côtelette, cuite (aliment moyen);157,220;26,3;0;5,78
Agneau, côte ou côtelette, grillée/poêlée (aliment moyen);157,220;26,3;0;5,78
Foie, agneau, cuit;156,840;23;3,16;5,8
Poulet, poitrine, viande et peau, cru;157,120;21,1;0;8,08
Bouchées ou émincé végétal au soja et blé (convient aux véganes ou végétaliens), préemballé;138,340;19,5;6,76;3,7
Fajitas;155,300;12,7;16;4,5
Riz complet, cuit, non salé;152,240;3,21;32,6;1
Rouget-barbet de roche, cru;157,930;18,4;0,000;9,37
Crêpe ou Galette fourrée béchamel jambon fromage champignon, préemballée;156,300;8,3;16,6;6,3
Foie, porc, cuit;158,640;26;3,76;4,4
Autruche, viande crue;159,100;20,2;0;8,7
Bette ou blette, crue;10,520;1;1,63;0,000
Courgette, pulpe et peau, crue;14,460;1,23;1,8;0,26
Céleri branche, cuit à l'étouffée;12,920;0,75;2,48;0,000
Mâche, crue;10,000;2;0,5;0,000
Bette ou blette, côte et feuille, bouillie/cuite à l'eau;11,940;0,88;1,43;0,3
Foie, poulet, cuit;159,790;24,5;0,8;6,51
Cassoulet au canard ou oie, appertisé;153,140;10,5;10,1;7,86
Pâtes à la carbonara (spaghetti, tagliatelles…);158,740;5,91;14,2;8,7
Tartiflette, préemballée;158,100;6;13,5;8,9
Boeuf, jarret, bouilli/cuit à l'eau;160,900;31;0,000;4,1
Rognon, cuit (aliment moyen);161,190;26,1;0;6,31
Jambon de porc à cuire ou Jambon à rôtir/cuire au four;161,320;19,9;0;9,08
Bonite, crue;161,290;22,3;0,000;8,01
Boeuf, bavette d'aloyau, grillée/poêlée;162,460;25;0,000;6,94
Abat, cuit (aliment moyen);162,000;25,1;1,36;6,24
Jambonneau, cuit;162,080;23,2;0,4;7,52
Hareng fumé, filet, doux;161,500;18,1;0;9,9
Poisson pané, surgelé, cru;159,970;11;16,1;5,73
Confiture, tout type de fruits, allégée en sucres (extra ou classique);155,000;0,75;38;0,000
Olive (aliment moyen);154,232;1,39;0,043;16,5
Pâtes en sauce aux fromages (spaghetti, tagliatelles…), préemballées;158,880;7,17;15,9;7,4
Pâtes sèches, sans gluten, cuites, non salées;159,860;3,09;34,4;1,1
Porc, rôti, cuit;163,390;30,5;0,65;4,31
Cheval, faux-filet, grillé/poêlé;162,830;26,6;0,000;6,27
Sardine, crue;163,320;19,5;0,000;9,48
Coupe glacée parfum pêche Melba ou poire Belle-Hélène;162,680;0,91;32,2;3,36
Paupiette de volaille;161,400;23,9;8,8;3,4
Riz cantonais;160,700;5,46;23,6;4,94
Lapin de garenne, viande, cuite;163,590;33;0;3,51
Foie, volaille, cuit;160,800;25,8;0;6,4
Boeuf, à bourguignon ou pot-au-feu, cru;163,500;24;0;7,5
Porc, côte, crue;164,420;19,8;0,38;9,3
Faisan, viande et peau, cru;164,350;23,2;0;7,95
Tofu fumé, préemballé;156,740;14,9;2,91;9,5
Pâtes ou nouilles asiatiques au blé, cuites, nature, non salées;161,700;3,5;21,4;6,9
Foie, génisse, cuit;165,390;26,3;2,2;5,71
Quenelle de veau, en sauce;161,980;3,52;15,6;9,5
Bresaola;165,100;31,6;0;4,3
Thon germon ou thon blanc, cuit à la vapeur sous pression;165,540;30;0;5,06
Tortilla espagnole aux oignons (omelette aux pommes de terre et oignons), préemballée;158,140;5,56;11,7;9,9
Volaille, cuite (aliment moyen);165,160;27,6;0,28;5,96
Veau, épaule, grillée/poêlée;165,930;27,6;0,000;6,17
Saumon, cru, sauvage;166,530;21;0,000;9,17
Oeuf de dinde, cru;166,420;13,7;1,13;11,9
Crème de lait, 15 à 20% MG, légère, épaisse, rayon frais;160,940;2,81;3;15,3
Riz blanc, avec légumes et viande, préemballé, cuit;163,770;4,61;28,3;3,57
Lapin, viande cuite;166,800;20,5;0,5;9,2
Coeur, dinde, cuit;167,280;24,9;0;7,52
Rognon, veau, braisé ou sauté/poêlé;167,000;26;0;7
Cheval, viande, crue;167,600;18,8;0,6;10
Langue, agneau, crue;166,700;15,4;1,75;10,9
Museau de boeuf en vinaigrette;167,100;11,3;1;13,1
Pilchard, sauce tomate, appertisé, égoutté;166,960;13;3,99;11
Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée;159,460;3,79;17,4;8,3
Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts, préemballée;164,000;3,2;16,2;9,6
Parmentier de canard, préemballé, cuit;161,800;7;10,5;10,2
Crêpe ou Galette aux noix de St Jacques, préemballée;166,000;7,7;15,8;8
Pâtes fraîches, aux oeufs, cuites, non salées;162,740;5,76;32;1,3
Pâtes, sans gluten, à base de lentilles corail, cuites à l'eau, non salées;154,400;11,7;25,1;0,8
Porc, filet mignon, cuit;168,300;26,1;0,000;7,1
Autruche, viande cuite;168,430;26,2;0;7,07
Boeuf, épaule, crue;168,360;20,4;0;9,64
Hareng fumé, à l'huile;167,400;15,1;2;11
Flétan du Groënland ou flétan noir ou flétan commun, cru;168,300;13,5;0,000;12,7
Lompe, crue;167,800;10;0,000;14,2
Veau, viande, cuite (aliment moyen);168,910;29;0,74;5,55
Agneau, gigot, rôti/cuit au four;168,850;26,8;0;6,85
Cheval, entrecôte, grillée/poêlée;168,960;28,2;0,000;6,24
Baba au rhum, préemballé;140,460;2,83;23,6;3,86
Soupe miso, déshydratée reconstituée;14,240;1,38;2,18;0,000
Céleri branche, cru;12,160;0,63;2,41;0,000
Brèdes chou de Chine ou bok choy ou pak choï, tiges et feuilles, cuites à la vapeur, prélevées à La Réunion (Brassica rapa subsp. Chinensis);13,560;1,69;1,7;0,000
Batavia, crue;12,120;1,25;1,78;0,000
Salade sucrine, crue;14,840;1,13;2,58;0,000
Galette ou pavé aux lentilles, soja et légumes, préemballé;156,040;9,71;16,7;5,6
Burritos;165,700;8;14,3;8,5
Pâtes, sans gluten, à base de riz et maïs, cuites à l'eau, non salées;166,200;3,15;36,6;0,8
